Source,Target
37e8da745db079b5,f3845767
c65633087fdd04d2,f3845767
9af87478,c4e18dd6
a4459495517bef98,f3845767
ce6e6bbd2cd8ff6d,c4e18dd6
b2b1478636d749e5,f3845767
767a174e,c4e18dd6
07875ea4aaffed8f,f3845767
f6a5ae0988fe1d5d,79cf0c8d
f8c8df20be87996b,c4e18dd6
cede6db1a0f5f879,f3845767
061893d468b900d9,c4e18dd6
2801fd97575d0d2a,f3845767
0086332e1f0bc64f,660aeadc
40fb49cabe74e6fe,7e091613
ed9450c21f0bc64f,c4e18dd6
c357dbff,c4e18dd6
fac7876784ebbcd4,c4e18dd6
0b697be11f0bc64f,f3845767
58db4f0c6332421a,f3845767
c23e50cb7594f139,98572c79
8b19fe67258766e2,e16ceb4b
ea9edeb5a5bce124,f3845767
e62f1261,c4e18dd6
56219eb176dc4769,f3845767
a98e3a73d787e91b,c7ca3108
a304f459d787e91b,f3845767
829e4720711ee120,f3845767
5891803bd787e91b,7e091613
2ad16ba3,fcb30e54
12c32fc684ebbcd4,98572c79
2f4b63895096d134,98572c79
df373817,c4e18dd6
d811b1520eb711ec,f3845767
feb38e6aa5bce124,98572c79
fe630f983db9fde9,7687a86e
39eab8a9900981af,6eb534a7
82628a013d64834e,98572c79
65a3b9c7d4897fef,98e6755b
175e2558,4c26e9ba
e1a589b1be6db1d7,449497bc
0489ce3f553f099b,f3845767
cb73ba55,c4e18dd6
2496fbc2cc51a2e1,f3845767
adb870117eef184d,7687a86e
bce04f5288fe1d5d,9166c161
e56d1ac18a4875bd,7e091613
664cd55bbe87996b,ce307e01
90f4d28057b3c6c3,c4e18dd6
23182210feb70d53,7e091613
bff9eb1204f5b394,98572c79
6c7da78372caa4d9,9690165f
958b16392203a096,f3845767
19b4af68711ee120,f3845767
c20a8177aa35da31,c4e18dd6
afefbd6b8a4875bd,98572c79
ddd2926ed787e91b,f3845767
75bb1b584ceb2e0b,f3845767
f9efa0f05096d134,f3845767
49d8597ed0d694e4,c4e18dd6
ac7c7ff2ff065cf0,f3845767
5ba6ef40d787e91b,f3845767
488a9a3e31025cda,98572c79
556a65e5,c4e18dd6
685d2cfa43836a96,7687a86e
598b6ac9,c4e18dd6
d1536ac6a5bce124,f3845767
8fa8b449a5bce124,f3845767
53650af81c6a881d,bb1ef334
2c01b6dc,c4e18dd6
e7154e4faad45b01,c4e18dd6
03fdc9638a4875bd,f3845767
d6b6f5143e7932d7,c4e18dd6
addff4137dc3b26e,7687a86e
75bb1b5806fbfd42,98572c79
20207c372cd8ff6d,e16ceb4b
1861b12989416188,c4e18dd6
6b40df6c36d749e5,7687a86e
a5875c5c0eb711ec,98572c79
dc37f270dff23b13,c8223ee3
9dc71f274ea23a13,7e091613
846197a8a5bce124,f3845767
d0e9d4d13e855f6d,f3845767
66575ef61f883dc7,71ed77a0
31d95183711ee120,f3845767
86c2fd11c6263d8a,f3845767
8e447ec0a0f5f879,f3845767
7ed30f6c4ea23a13,c4e18dd6
a1ed7471fa202956,7e091613
e5df81581f0bc64f,7e091613
97d23ae48a4875bd,f3845767
b1d1983924f6b932,7687a86e
728f6833c730b3c6,27e3c518
65d95ea2fbc27727,ce307e01
88dcdab80ff80b9d,98572c79
1744d807be6db1d7,7e091613
3d1c020c84ebbcd4,98572c79
b9ac96b61aa0e912,98572c79
977a4628be6db1d7,7687a86e
7cb4795e36d749e5,f3845767
