id,degree,betweenesscentrality,weighted degree
f3845767,5362,47694591.74,7174
c4e18dd6,2163,25513149.30,2748
98572c79,1420,13295683.34,1753
7687a86e,1215,13597202.94,1323
7e091613,600,6709702.05,802
c7ca3108,136,9180.00,381
e16ceb4b,235,2620917.00,284
17d996e6,172,41032.00,200
6b560cc1,110,3906546.69,133
16a36ef3,111,33425.00,126
27e3c518,101,989196.63,115
510bd839,84,565903.85,104
28f93029,87,1215666.14,96
0dde25ec,74,1326937.77,92
c4342784,70,504287.76,85
08ba7db9,81,3240.00,85
449497bc,57,624087.98,78
bb1ef334,59,1711.00,78
4c26e9ba,63,3317.00,67
58a89a43,50,553357.00,65
b9c4ab81,45,990.00,57
7d05db75,50,1225.00,50
5b626596,36,588589.18,45
71ed77a0,30,435.00,38
968765cd,32,496.00,38
75f9ddc3,33,239142.05,37
5c9ae867,24,7331.00,36
c357dbff,1,0.00,33
0a4015b2,33,528.00,33
93ab6716,30,327787.00,33
db7a8013,30,435.00,33
61eb5bc4,29,406.00,30
6b9769f28a4875bd,2,24790.09,29
bc63ea42,26,325.00,26
9166c161,18,153.00,24
6b3a5479900981af,14,500.73,23
3f2f3819,20,190.00,23
08facbad,22,1554.00,22
d7e2f29b,19,171.00,22
7804dea6,20,200153.65,22
9b851bd8,13,78.00,21
a98e3a73d787e91b,1,0.00,19
1e0acfb4,18,153.00,18
6b9769f21f0bc64f,3,119298.55,18
ce307e01,16,120.00,17
948ff336,15,105.00,17
d733bbc3,13,78.00,16
07875ea41f0bc64f,2,24790.09,16
9b421927,15,158347.00,15
b5188ae6,14,91.00,15
9d3b56b1,12,281.47,15
5dddf09e,10,45.00,15
38b1b595,13,78.00,14
d2f72222,13,78.00,14
f436b08f,12,226.06,13
3332d30096b83ebe,1,0.00,13
98acf46c,11,55.00,13
e8fc2f9f900981af,11,319.67,13
1.49E+24,13,78.00,13
98e6755b,5,10.00,12
272c5d9d,8,28.00,12
7256c623,10,45.00,12
1a02dd86,12,262.28,12
9fb0b77c,10,164.68,12
a10eb148,11,113125.00,12
b12b9f85,11,105.00,12
28b9656a,10,175.06,11
5baa6f69,8,79198.00,11
e2a5dc06,10,101817.00,11
de0f0f82,7,21.00,11
6b9769f2d787e91b,2,24790.09,11
8fbb91083223bcfe,1,0.00,11
0824f3104ea23a13,5,64015.16,11
6eb534a7,7,75.28,10
c8223ee3,8,28.00,10
c1aa3c04,10,45.00,10
c4d600ad,8,28.00,10
693bff3e1f0bc64f,2,24790.09,10
6b59f079,10,45.00,10
a434fa42,10,2817.00,10
45368af7,9,143.21,10
2296b5b3,10,101817.00,10
6769bdb2d787e91b,1,0.00,10
57bce7c6d787e91b,1,0.00,9
6b9769f26332421a,2,24790.09,9
d3a5304e1ccc7835,1,0.00,9
07875ea48a4875bd,1,0.00,9
c5219b1d05566ad2,4,58519.23,9
9f448720,8,28.00,9
514cb2e9,1,0.00,9
1a70ff61,8,28.00,9
67cf42d6,6,15.00,9
9b1fe278711ee120,4,10038445.73,9
6bdbd889,6,15.00,9
cf5fcee6,9,36.00,9
ed20ddc0d787e91b,1,0.00,9
11582ac8,9,210.67,9
225af2a8cdf6ea96,1,0.00,9
e1a589b1be6db1d7,1,0.00,8
ddd2926ed787e91b,2,24790.09,8
9dc71f274ea23a13,1,0.00,8
7195bdd6,8,28.00,8
567b3c9d900981af,6,142.72,8
ae42194b900981af,8,84.77,8
19f40e4a900981af,7,69.43,8
3885601c553f099b,1,0.00,8
004b4a39d787e91b,1,0.00,8
54c664bfd787e91b,1,0.00,8
11378a51,8,162.72,8
aa785047,7,21.00,8
aa42be811f0bc64f,2,24790.09,8
ef7599d39e3836ff,1,0.00,8
f2ded9e4,1,0.00,8
a8ee9ac68bfcd3c6,1,0.00,8
d5fe4f5624f6b932,1,0.00,8
08502ed6900981af,7,123.31,8
ace5b8fd,7,21.00,8
eac4567d,6,100.47,8
a17bde68,8,28.00,8
693bff3e94a6ac23,2,24790.09,8
b0a0505f,7,199.87,8
57cd4006711ee120,2,24790.09,8
feaa14df95a0fb49,1,0.00,8
92c9e92d,8,79198.00,8
a9bba545,6,15.00,7
b09da1c4,1,0.00,7
6af7e27b50a85b97,1,0.00,7
6225315b,6,15.00,7
2fa5489f,1,0.00,7
693bff3ed787e91b,5,1902912.51,7
bcd05a21,1,0.00,7
ac5abf20,7,21.00,7
28444dcf24f6b932,1,0.00,7
580e0f90,5,56.53,7
82d09e541f0bc64f,4,32781.45,7
7b1e349b,6,15.00,7
357608d13de05cb4,1,0.00,7
dea829069c7b6730,1,0.00,7
1fc79e1c4fa8d553,1,0.00,7
6b9769f2711ee120,2,24790.09,7
431b3174d787e91b,1,0.00,7
9534d0d95096d134,1,0.00,7
b43a0c4d76dc4769,3,22676.31,7
76c899ae8d7eb102,1,0.00,7
1cf297168a4875bd,1,0.00,7
277e7114,7,21.00,7
c599a1fc,1,0.00,7
59ac940d1f0bc64f,2,24790.09,7
51c53be04962150e,1,0.00,7
c5206c87,6,33.29,7
59ac940d8a4875bd,2,24790.09,7
67287d7624f6b932,1,0.00,7
bd57ba09,1,0.00,7
c208bce70eb711ec,1,0.00,7
4b6dd5a5d787e91b,1,0.00,7
a6df415d1f0bc64f,2,24790.09,7
660aeadc,6,34051.63,6
9690165f,6,15.00,6
6b40df6c36d749e5,3,136420.68,6
625c3d26,1,0.00,6
e54c13445db079b5,3,58735.09,6
f08ee487d787e91b,1,0.00,6
863fa89d,5,56574.00,6
91cdcccd,4,6.00,6
a913424da0f5f879,1,0.00,6
f43e535b,6,58.27,6
fed83882,6,15.00,6
4b23d058,5,54.00,6
9caa6d478a4875bd,1,0.00,6
1330ae7dd1f97bd7,4,58519.23,6
84459f9981b42528,1,0.00,6
431b31748a4875bd,1,0.00,6
023aff441ccc7835,1,0.00,6
99e23224,5,10.00,6
75bb1b588a4875bd,3,137870.09,6
b874038d3bc980aa,1,0.00,6
c165324ed787e91b,1,0.00,6
2acd7a51cdfde03b,1,0.00,6
9b1fe2788a4875bd,2,24790.09,6
700517958a4875bd,1,0.00,6
9425ad2a,5,10.00,6
a5a6cdac33c9c797,1,0.00,6
e6960ac6711ee120,1,0.00,6
ff1c4f791f0bc64f,1,0.00,6
73123598,5,10.00,6
ceffea698a4875bd,1,0.00,6
1087b12b6332421a,1,0.00,6
115a7e200eb711ec,1,0.00,6
650931ab76759795,1,0.00,6
9c83a95d711ee120,2,24790.09,6
91dd76e0,6,15.00,6
4b2128ef900981af,6,78.65,6
1d163c5b3bd9e8e7,2,24790.09,6
b37a3ee5dc5e4add,1,0.00,6
6b9769f22203a096,2,24790.09,6
f1de2479d787e91b,1,0.00,6
431b31741f0bc64f,1,0.00,6
18a375fc239543e1,3,4741.75,6
693bff3ed25693ce,2,24790.09,6
a4eb97bdd787e91b,1,0.00,6
8e1ff8044a4cfe9e,1,0.00,6
aa8c000b13472f46,1,0.00,6
9d54950b,3,3.00,6
c1f68f8da8d2c4cf,1,0.00,6
9164b420,6,45267.31,6
f3ca2e42,6,20.00,6
c65633088a4875bd,2,24790.09,6
1cf2971684ebbcd4,2,41122.38,6
6c97df787dc3b26e,3,136420.68,6
533311f18a4875bd,1,0.00,6
c7bb33bc977a2929,1,0.00,6
ac475ecf711ee120,2,53386.09,6
ffc5e3152de871e6,4,35893.11,6
e59c2b3d8a4875bd,1,0.00,6
9a7957b21aa0e912,2,24790.09,6
488a9a3ed787e91b,3,58589.16,6
39eab8a9900981af,4,40.48,5
7ed30f6c4ea23a13,2,67872.00,5
eddd1cf1,2,1.00,5
c65633083bd9e8e7,2,24790.09,5
e3404dc736a30aeb,1,0.00,5
ef8cc3244ea23a13,1,0.00,5
a8536f3a8a4875bd,2,24790.09,5
d739aabc158e4944,1,0.00,5
dffed5f8,5,10.00,5
759d1c56,5,10.00,5
b0070d9a4ea23a13,1,0.00,5
bfa24f16,5,140.74,5
d97d7a6d5096d134,1,0.00,5
8d61d7eb,1,0.00,5
0345634376dc4769,2,53386.09,5
